Density,TimeOfDay
9.0,10.42
4.55,19.88
1.82,10.67
9.36,18.42
1.91,12.61
7.45,8.36
3.45,16.73
6.0,11.03
8.82,17.94
5.18,17.58
5.36,9.7
9.45,12.48
3.73,19.52
7.27,14.3
2.36,14.06
6.36,19.76
4.09,13.58
4.0,8.85
6.09,18.91
2.55,15.39
8.0,19.27
5.82,15.64
5.91,11.52
5.0,14.67
5.73,15.15
9.18,18.79
8.55,15.76
8.27,8.97
9.73,13.94
2.91,11.88
9.09,9.58
3.27,16.85
7.09,8.48
2.45,14.18
7.91,11.39
5.55,13.82
1.36,14.91
2.27,11.76
5.64,12.12
4.45,19.39
9.55,16.36
7.82,11.64
3.91,14.79
2.82,8.73
1.73,17.45
9.91,13.7
8.73,10.55
6.45,14.55
10.0,17.82
4.82,18.06
1.09,18.3
4.73,16.0
5.45,16.97
8.64,19.64
4.36,19.03
6.27,15.52
7.55,8.24
3.0,10.91
3.55,13.09
1.45,9.82
4.27,17.09
4.18,18.18
7.0,16.12
1.55,10.3
5.09,8.0
1.0,12.97
1.27,9.94
9.27,11.27
2.64,16.48
3.36,14.42
5.27,9.09
6.18,15.88
6.55,12.36
7.18,15.03
4.91,8.12
9.82,17.7
3.18,9.33
6.64,16.61
3.09,9.21
6.73,17.33
3.64,18.55
7.64,15.27
2.0,20.0
8.45,18.67
7.73,12.24
8.36,19.15
8.91,12.73
1.64,10.79
2.73,17.21
2.09,11.15
3.82,13.21
8.09,13.45
6.91,12.85
6.82,13.33
4.64,8.61
7.36,10.06
1.18,9.45
8.18,10.18
2.18,16.24
9.64,12.0
